year,song,artist,play_count,Genre,Mood,spotify_url
2019,If the World Was Ending,JP Saxe,48,Pop,Sad,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
2019,Take Me to Church,Hozier,47,Indie,Angry,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
2019,Cater 2 U,Destiny's Child,45,R&B,Romantic,https://open.spotify.com/track/0FZvjrHpAmLKj574M4VwrF
2019,Cleanin' Out My Closet,Eminem,31,Hip-Hop,Angry,https://open.spotify.com/track/7BMO7O7ImjV8HNTH74Tshv
2019,Patah Seribu,Shila Amzah,26,Pop,Sad,https://open.spotify.com/track/0Ni3RjjsQP0oz8lt8xsFIn
2020,Little Things,Jessica Mauboy,80,Pop,Sad,https://open.spotify.com/track/240WkSGaUBJMBmHLqS33WA
2020,Hey Ya!,Outkast,76,Pop,Happy,https://open.spotify.com/track/2PpruBYCo4H7WOBJ7Q2EwM
2020,If the World Was Ending,JP Saxe,65,Pop,Sad,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
2020,BROWN SKIN GIRL,Blue Ivy,62,R&B,Empowering,https://open.spotify.com/track/0B3FovCVaGKS5w1FTidEUP
2020,Higher,Rihanna,46,R&B,Romantic,https://open.spotify.com/track/1KnJwhZU3DIBe54Q4HPpIl
2020,Cinta Luar Biasa,Andmesh,41,Pop,Romantic,https://open.spotify.com/track/4TPtPQIPMjWoRuZj4JLPDw
2020,Surrender,Natalie Taylor,41,Pop,Sad,https://open.spotify.com/track/0ecC8p17cDNlxHXkuYqeR6
2020,Cleanin' Out My Closet,Eminem,38,Hip-Hop,Angry,https://open.spotify.com/track/7BMO7O7ImjV8HNTH74Tshv
2020,Rare,Selena Gomez,38,Pop,Calm,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
2020,Love On The Brain,Rihanna,37,Indie,Romantic,https://open.spotify.com/track/5oO3drDxtziYU2H1X23ZIp
2020,Halo,Beyoncé,27,Pop,Romantic,https://open.spotify.com/track/2CvOqDpQIMw69cCzWqr5yr
2020,Kiss It Better,Rihanna,25,R&B,Romantic,https://open.spotify.com/track/0UHB9METy4VCXNgkcGqHqS
2020,Same Ol Mistakes,Rihanna,22,Indie,Calm,https://open.spotify.com/track/6RtzmszGXs32TRhv5zTKNM
2020,Needed Me,Rihanna,21,Indie,Calm,https://open.spotify.com/track/4pAl7FkDMNBsjykPXo91B3
2020,Close To You,Rihanna,20,Indie,Calm,https://open.spotify.com/track/6D2tzc8kRnZb7P1lNwMBLH
2021,Rain On Me,Lady Gaga,16,Disco,Happy,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
2021,Sorry Not Sorry,Demi Lovato,13,Pop,Empowering,https://open.spotify.com/track/0yvPEnB032fojLfVluFjUv
2021,The Middle,Zedd,13,Pop,Happy,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
2021,Love On Top,Beyoncé,12,R&B,Happy,https://open.spotify.com/track/1z6WtY7X4HQJvzxC4UgkSf
2021,Irreplaceable,Beyoncé,11,R&B,Empowering,https://open.spotify.com/track/6RX5iL93VZ5fKmyvNXvF1r
2021,no tears left to cry,Ariana Grande,11,Pop,Happy,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
2021,Never Really Over,Katy Perry,10,Pop,Sad,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
2021,2002,Anne-Marie,9,Pop,Happy,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
2021,Don't Start Now,Dua Lipa,9,Disco,Happy,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
2021,"thank u, next",Ariana Grande,9,Pop,Happy,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
2021,Lonely,Justin Bieber,8,Pop,Sad,https://open.spotify.com/track/3S8jK1mGzQi24ilFb45DAZ
2021,Chi se ne frega,Devis,8,Pop,Empowering,https://open.spotify.com/track/1N0C09kv5sPspqEXeFBdEq
2021,I Don't Care,Ed Sheeran,8,Pop,Happy,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
2021,Dance for You,Beyoncé,7,R&B,Romantic,https://open.spotify.com/track/7cvkXf3AwPGT041PyOi5VX
2021,Dancing With A Stranger,Sam Smith,7,Pop,Calm,https://open.spotify.com/track/3xgT3xIlFGqZjYW9QlhJWp
2022,Unholy,Sam Smith,261,Pop,Empowering,https://open.spotify.com/track/0NZPBYD5qbEWRs3PrGiRkT
2022,Rembau Most Wanted,W.A.R.I.S,161,Hip-Hop,Happy,https://open.spotify.com/track/6ZzqQJEskolOcb312Jpx9S
2022,Bodak Yellow,Cardi B,142,Hip-Hop,Empowering,https://open.spotify.com/track/6KBYefIoo7KydImq1uUQlL
2022,Calm Down,Rema,133,R&B,Calm,https://open.spotify.com/track/0WtM2NBVQNNJLh6scP13H8
2022,Until I Found You,Stephen Sanchez,131,Indie,Romantic,https://open.spotify.com/track/6VhuP99TE6gYNQRJIlAWFD
2022,SWIPE,ALYPH,102,Hip-Hop,Happy,https://open.spotify.com/track/1FNfR4kZyozQ1unC5rQGC6
2022,RING RING,Luqman Podolski,96,Hip-Hop,Sad,https://open.spotify.com/track/4LnqpVgUfQO2uDRxCRysuS
2022,CUFF IT,Beyoncé,88,Disco,Happy,https://open.spotify.com/track/1xzi1Jcr7mEi9K2RfzLOqS
2022,Sorang,Luqman Podolski,87,Pop,Happy,https://open.spotify.com/track/2e3J1dAm54o9YcZVFo6nl8
2022,I Ain't Worried,OneRepublic,64,Pop Rock,Empowering,https://open.spotify.com/track/4h9wh7iOZ0GGn8QVp4RAOB
2022,Sedang Ingin Bercinta,Dewa 19,55,Pop Rock,Romantic,https://open.spotify.com/track/44n4zJjacUQJSJncx0YW7h
2022,Fuck You,Lily Allen,54,Pop,Angry,https://open.spotify.com/track/5st5644IlBmKiiRE73UsoZ
2022,INDUSTRY BABY,Lil Nas X,54,Indie,Happy,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
2022,Super Freaky Girl,Nicki Minaj,53,Hip-Hop,Happy,https://open.spotify.com/track/4C6Uex2ILwJi9sZXRdmqXp
2022,Anti-Hero,Taylor Swift,52,Pop Rock,Happy,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu
2023,Sial,Mahalini,264,Pop,Angry,https://open.spotify.com/track/6O0WEM0QNEhqpU50BKui7o
2023,La Vie En Rose,Daniela Andrade,243,Indie,Calm,https://open.spotify.com/track/0VxocBntP1XTZRsR9ZURPS
2023,Unchained Melody,The Righteous Brothers,216,Country,Sad,https://open.spotify.com/track/2qhASBzpbFhPRtrnZ5lLnz
2023,Until I Found You,Stephen Sanchez,197,Indie,Romantic,https://open.spotify.com/track/6VhuP99TE6gYNQRJIlAWFD
2023,Ke Hujung Dunia,Sarah,175,Pop,Sad,https://open.spotify.com/track/0UJPUgOBIQSiow82qd9awv
2023,Blue,Aina Abdul,165,Indie,Calm,https://open.spotify.com/track/0DeERXbSE5amnnFx5MSycO
2023,Heartbreak Anniversary,Giveon,160,R&B,Sad,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
2023,Malampagi,Saixse,133,Hip-Hop,Sad,https://open.spotify.com/track/6QV8eV3QVFp5upaTYjm7Xy
2023,Satu Malam Di Temasek,Joe Flizzow,119,Hip-Hop,Empowering,https://open.spotify.com/track/5nsfVwWz1M1sug2ILCVygq
2023,Touch My Body,Mariah Carey,119,R&B,Calm,https://open.spotify.com/track/2aEuXA1KswHlCGPOuPmCOW
2023,Sakit,Zynakal,114,Hip-Hop,Sad,https://open.spotify.com/track/2rAJy2WSlQOINaWi0kydkr
2023,Hasrat,Amir Jahari,110,Pop,Sad,https://open.spotify.com/track/3Q6DYlT649Y1tgyf5We71c
2023,Another Love,Tom Odell,107,Pop,Sad,https://open.spotify.com/track/3JvKfv6T31zO0ini8iNItO
2023,Rich Flex,Drake,105,Hip-Hop,Empowering,https://open.spotify.com/track/1bDbXMyjaUIooNwFE9wn0N
2023,Budapest,George Ezra,101,R&B,Happy,https://open.spotify.com/track/2ixsaeFioXJmMgkkbd4uj1
2024,Cinta Tak Pernah Tepat Waktu,Aina Abdul,225,Pop,Sad,https://open.spotify.com/track/5TFvDLLJZGgl4F9eJegCgd
2024,Nobody Gets Me,SZA,173,R&B,Sad,https://open.spotify.com/track/5Y35SjAfXjjG0sFQ3KOxmm
2024,redrum,21 Savage,164,Hip-Hop,Empowering,https://open.spotify.com/track/52eIcoLUM25zbQupAZYoFh
2024,TGIF,GloRilla,133,Hip-Hop,Empowering,https://open.spotify.com/track/2hKYtHbwYOSjvYQhVdUpdQ
2024,Homecoming,Kanye West,120,Hip-Hop,Happy,https://open.spotify.com/track/4iz9lGMjU1lXS51oPmUmTe
2024,best side,DOLLA,120,Pop,Happy,https://open.spotify.com/track/3pbomh53cYaftJJ6x4n6UU
2024,Touch My Body,Mariah Carey,109,R&B,Calm,https://open.spotify.com/track/2aEuXA1KswHlCGPOuPmCOW
2024,Jiwa Yang Bersedih,Ghea Indrawari,104,Pop,Sad,https://open.spotify.com/track/6XsFgTG4dY768oIB4Dmeu0
2024,HIND'S HALL,Macklemore,99,Hip-Hop,Empowering,https://open.spotify.com/track/1zOgXnODZUp87IGbF3b8YB
2024,Mamushi,Megan Thee Stallion,97,Hip-Hop,Happy,https://open.spotify.com/track/5b3XJ1pjrHO5JtY2PcTjnI
2024,Takkan Berpaling DariMu,Rossa,97,Pop,Calm,https://open.spotify.com/track/4L6lkjVqEg17sOmzhcK0F3
2024,Too Sweet,Hozier,97,Indie,Happy,https://open.spotify.com/track/19XpFsce28aByvCC4g89tJ
2024,Work Song,Hozier,92,Indie,Sad,https://open.spotify.com/track/35PKfoynRpVFoAUE3D5Kc6
2024,Players,Coi Leray,86,Hip-Hop,Happy,https://open.spotify.com/track/6UN73IYd0hZxLi8wFPMQij
2024,R.E.M,Ariana Grande,86,R&B,Calm,https://open.spotify.com/track/1xWH8zYtDeS9mW1JJG23VZ
