Word,Count
played,2
wrote,2
deeper,2
tries,2
covergirls,2
beautifulchorus,2
tongue,2
needin,2
trippin,2
keys,2
vacation,2
skrr,2
ohwoahwoah,2
swallow,2
drowning,2
sorrows,2
shaking,2
disappointed,2
cared,2
probably,2
ahead,2
checked,2
laughing,2
revenge,2
burnsverse,2
fineness,2
bitter,2
bigger,2
stings,2
greener,2
technicolor,2
guys,2
bones,2
hardearned,2
praise,2
lordchorus,2
common,2
rhythm,2
defeat,2
prison,2
cell,2
lordoutro,2
machine,2
guns,2
shootout,2
repeating,2
order,2
insecure,2
brother,2
stones,2
dum,2
beh,2
pushing,2
puts,2
terror,2
rains,2
bo,2
dares,2
gravity,2
loose,2
heychorus,2
scaramouche,2
aside,2
stone,2
dresses,2
sweatpants,2
physique,2
become,2
flames,2
farewell,2
forgive,2
recommended,2
insatiable,2
appetite,2
naturally,2
action,2
gas,2
tracks,2
hitchhike,2
motorbike,2
barber,2
fu,2
persuasion,2
nation,2
endless,2
devour,2
college,2
respect,2
depression,2
anxiety,2
social,2
apologizing,2
exes,2
wearing,2
riches,2
gleamin,2
card,2
racks,2
juice,2
pockets,2
wallet,2
streaming,2
apparently,2
male,2
lived,2
shining‚,2
no‚,2
coasting,2
explanation,2
ally,2
dolla,2
ign,2
baby‚,2
witch,2
jewelry,2
distracted,2
traffic,2
television,2
communication,2
rightverse,2
rippin,2
mmprechorus,2
messages,2
notes,2
prechrous,2
mmh,2
messed,2
cooler,2
ice,2
seconds,2
polaroid,2
saint,2
dependin,2
calming,2
fights,2
inna,2
cameras,2
shade,2
pigment,2
natural,2
notice,2
lines,2
restrained,2
faithfully,2
ohohohohohoh,2
flag,2
ahha,2
fistfighting,2
fucks,2
awakened,2
rule,2
awaypostchorus,2
sunshine,2
argue,2
yell,2
crack,2
longed,2
digest,2
faded,2
inner,2
carriage,2
confess,2
pulling,2
protection,2
message,2
misery,2
yeahprechorus,2
aggressive,2
dishes,2
papapa,2
asks,2
smilin,2
nothins,2
toppostchorus,2
remove,2
bags,2
yard,2
fool,2
puttin,2
hurry,2
selfcontrol,2
internet,2
drew,2
2002,2
covers,2
forward,2
ended,2
scary,2
laugh,2
married,2
plus,2
smash,2
everyones,2
oohverse,2
backin,2
pictures,2
mhm,2
clear,2
paper,2
pictureperfect,2
chased,2
ddont,2
dirty,2
oheeoheeoh,2
hoeeoheeome,2
fendi,2
miu,2
representin,2
hobin,2
jang,2
ado,2
nogori,2
field,2
duo,2
bona,2
poie,2
kojo,2
messin,2
tigo,2
flat,2
fruit,2
sitting,2
tribes,2
cardi,2
bother,2
whip,2
vroom,2
forgot,2
chewing,2
reach,2
link,2
youguitar,2
ngada,2
silence,2
wipe,2
relieved,2
released,2
vida,2
elevate,2
nightverse,2
excited,2
exotic,2
truck,2
luqman,2
arrogant,2
afraid,2
sister,2
ye,2
stepping,2
champions,2
mе,2
track,2
juniors,2
pussies,2
industry,2
arrive,2
thong,2
p,2
graveyard,2
tale,2
dreaming,2
meaning,2
beginning,2
convince,2
magic,2
godspeed,2
rivers,2
drifting,2
region,2
separated,2
thatll,2
foolishly,2
sonone,2
news,2
language,2
aces,2
flop,2
enterprise,2
stadiums,2
gopro,2
amatur,2
8k,2
bands,2
mariah,2
carey,2
thedream,2
mc,2
imagination,2
temperatures,2
bodyverse,2
brandnew,2
tighter,2
caress,2
tropical,2
caribbean,2
bodybridge,2
teddy,2
luxury,2
laying,2
intertwined,2
lalalaladadada,2
unapproved,2
cooperate,2
butterflies,2
disgusting,2
despite,2
mistake,2
nonsense,2
nudy,2
6ix,2
rappin,2
slap,2
chrome,2
pushin,2
budapest,2
hidden,2
golden,2
grand,2
piano,2
castillo,2
ahooh,2
bonds,2
hesitant,2
thrill,2
cai,2
amor,2
sway,2
tre,2
oj,2
tsa,2
brothers,2
chain,2
pigs,2
blicky,2
uhhuh,2
shirt,2
eww,2
excuse,2
fireworks,2
michigan,2
hop,2
beach,2
suntanning,2
ay,2
protracted,2
barricade,2
